Designation (and name)     Prov. Des.  Ln      q       Q      H     Epoch      M     Peri.  Node    Incl.   e      a      Opps.     Ref.
  (4348) Poulydamas        1988 RU     L5    4.731   5.749   9.69  20200531  208.39  159.7  220.1    8.0  0.097   5.240    32     E2020-QM5
  (4489)                   1988 AK     L4    4.887   5.521   9.18  20201217  257.62    6.8   86.5   22.2  0.061   5.204    28     MPO593164
  (4501) Eurypylos         1989 CJ3    L4    4.938   5.492  10.54  20201217  324.85  179.5  244.3    8.3  0.053   5.215    28     MPO593164
  (4543) Phoinix           1989 CQ1    L4    4.635   5.626   9.84  20201217  345.78   84.6  325.4   14.7  0.097   5.131    28     MPO593165
  (4707) Khryses           1988 PY     L5    4.565   5.826  10.64  20201217  240.55   66.3  310.2    7.1  0.121   5.195    28     MPO593168
  (4708) Polydoros         1988 RT     L5    4.936   5.565  10.02  20201217  206.82  102.9  281.2    7.0  0.060   5.251    27     MPO593168
  (4709) Ennomos           1988 TU2    L5    5.147   5.376   8.77  20201217  295.93   77.0  253.1   25.4  0.022   5.261    29     MPO593168
  (4715)                   1989 TS1    L5    4.857   5.364   9.83  20201217  267.49  344.1    1.6   18.7  0.050   5.110    27     MPO593168
  (4722) Agelaos           4271 T-3    L5    4.626   5.786  10.16  20201217  225.07  315.1   65.0    8.8  0.111   5.206    27     MPO593168
  (4754) Panthoos          5010 T-3    L5    5.219   5.307  10.12  20201217  291.87  177.8  155.0   12.3  0.008   5.263    29     MPO593169
  (4791) Iphidamas         1988 PB1    L5    4.927   5.392  10.09  20201217  177.52  164.5  261.5   26.0  0.045   5.159    25     MPO593169
  (4792) Lykaon            1988 RK1    L5    4.773   5.739  10.22  20201217  256.66  283.3   61.9    9.3  0.092   5.256    29     MPO593169
  (4805) Asteropaios       1990 VH7    L5    4.730   5.678  10.10  20201217  228.69   89.8  278.4   12.0  0.091   5.204    32     MPO593169
  (4827) Dares             1988 QE     L5    4.907   5.350  10.58  20201217  205.67  169.2  242.0    7.7  0.043   5.129    26     MPO593170
  (4828) Misenus           1988 RV     L5    4.951   5.378  10.48  20201217  118.93  130.3  353.0   14.9  0.041   5.165    25     MPO593170
  (4829) Sergestus         1988 RM1    L5    4.921   5.419  11.25  20201217  286.96  119.8  221.9    8.6  0.048   5.170    25     MPO593170
  (4832) Palinurus         1988 TU1    L5    4.523   6.007  10.08  20201217  266.82  209.5  135.1   19.1  0.141   5.265    27     MPO593170
  (4833) Meges             1989 AL2    L4    4.745   5.718   9.04  20201217  336.33  280.9  101.7   34.7  0.093   5.231    27     MPO593170
  (4834) Thoas             1989 AM2    L4    4.494   5.926   9.23  20201217  292.70  352.2   76.0   28.5  0.137   5.210    25     MPO593170
  (4835)                   1989 BQ     L4    3.893   6.503  10.61  20201217  259.66  355.1  125.5   19.6  0.251   5.198    23     MPO593170
  (4836) Medon             1989 CK1    L4    4.648   5.774   9.59  20201217  268.86   34.1   82.0   19.4  0.108   5.211    27     MPO593170
  (4867) Polites           1989 SZ     L5    5.068   5.264   9.93  20201217    4.45  277.8  335.2   27.2  0.019   5.166    25     MPO593171
  (4902) Thessandrus       1989 AN2    L4    4.978   5.428   9.91  20201217  287.69  270.4  170.3    9.1  0.043   5.203    29     MPO593171
  (4946) Askalaphus        1988 BW1    L4    5.055   5.583  10.21  20201217   99.85  206.4   59.0   21.9  0.050   5.319    26     MPO593172
  (5012) Eurymedon         9507 P-L    L4    4.807   5.719  10.62  20201217  356.91  334.7   34.8    5.0  0.087   5.263    32     MPO593173
